clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
Cancellation after the free-look period shall attract a surrender charge of 7% of the premium paid. This term is subject to periodic review by the Company.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 1% of the premium paid. This provision is subject to applicable regulatory guidelines. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 2.5% of the premium paid. The parties acknowledge this clause as forming part of the binding terms. This clause is subject to amendment by way of written notice.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 36% of the premium paid. This provision forms an integral part of the Agreement. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 9% of the premium paid. This provision forms an integral part of the Agreement.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 36% of the premium paid. This clause shall survive termination of the Agreement where applicable. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 30% of the premium paid. Any deviation from this clause shall require prior written consent. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 5% of the premium paid. This provision forms an integral part of the Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 8% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 30% of the premium paid. The parties acknowledge this clause as forming part of the binding terms.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 5% of the premium paid. This provision forms an integral part of the Agreement. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 36% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 8% of the premium paid. This clause shall survive termination of the Agreement where applicable. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 18% of the premium paid. The parties acknowledge this clause as forming part of the binding terms.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 10% of the premium paid. This clause shall survive termination of the Agreement where applicable.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Insurer may cancel the policy at any time without refund of premium, even where the Policyholder has committed no breach. Any deviation from this clause shall require prior written consent. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Insurer may cancel the policy at any time without refund of premium, even where the Policyholder has committed no breach. This provision is subject to applicable regulatory guidelines. This clause is subject to amendment by way of written notice.",Policy Cancellation,Insurance Agreement,Risky,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Insurer may cancel the policy at any time without refund of premium, even where the Policyholder has committed no breach. This term is subject to periodic review by the Company. This clause is subject to amendment by way of written notice.",Policy Cancellation,Insurance Agreement,Risky,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Insurer may cancel the policy at any time without refund of premium, even where the Policyholder has committed no breach.",Policy Cancellation,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Insurer may cancel the policy at any time without refund of premium, even where the Policyholder has committed no breach. The parties acknowledge this clause as forming part of the binding terms.",Policy Cancellation,Insurance Agreement,Risky,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Insurer may cancel the policy at any time without refund of premium, even where the Policyholder has committed no breach. Any deviation from this clause shall require prior written consent.",Policy Cancellation,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
"The Insurer may cancel the policy at any time without refund of premium, even where the Policyholder has committed no breach. This provision is subject to applicable regulatory guidelines.",Policy Cancellation,Insurance Agreement,Risky,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Insurer may cancel the policy at any time without refund of premium, even where the Policyholder has committed no breach. The parties acknowledge this clause as forming part of the binding terms. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
